ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Latitude,Longitude,Location
13484205,JH291895,2024-06-04 13:30:00,038XX W LEXINGTON ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,0,1,1133,11,24.0,26.0,04A,2024,41.871674684,-87.721570351,"(41.871674684, -87.721570351)"
11719626,JC302598,2019-06-11 23:31:00,022XX S CENTRAL PARK AVE,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,STREET,0,1,1013,10,22.0,30.0,04B,2019,41.851293516,-87.714988948,"(41.851293516, -87.714988948)"
12853022,JF427064,2022-10-08 16:28:00,030XX N HALSTED ST,0860,THEFT,RETAIL THEFT,DRUG STORE,0,0,1933,19,44.0,6.0,06,2022,41.93743245,-87.649180491,"(41.93743245, -87.649180491)"
13518441,JH332612,2024-07-04 04:14:00,028XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,APARTMENT,0,0,133,1,4.0,35.0,08B,2024,41.842695834,-87.61721984,"(41.842695834, -87.61721984)"
13043720,JG225181,2023-04-15 23:30:00,013XX W CHICAGO AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,PARK PROPERTY,0,0,1213,12,27.0,24.0,03,2023,41.896176088,-87.660853065,"(41.896176088, -87.660853065)"
13307144,JG540242,2023-12-13 11:59:00,081XX S HARVARD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,622,6,6.0,44.0,14,2023,41.746408255,-87.632974368,"(41.746408255, -87.632974368)"
12064994,JD249045,2020-05-31 21:45:00,033XX N LINCOLN AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,0,0,1922,19,47.0,6.0,05,2020,41.942266388,-87.670465995,"(41.942266388, -87.670465995)"
13042576,JG223759,2023-04-14 19:30:00,025XX W 61ST ST,0460,BATTERY,SIMPLE,SIDEWALK,0,0,825,8,16.0,66.0,08B,2023,41.782845127,-87.687935337,"(41.782845127, -87.687935337)"
12021680,JD199605,2020-03-31 08:00:00,049XX N LEAVITT ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,1,2032,20,40.0,4.0,08B,2020,41.971051604,-87.684123023,"(41.971051604, -87.684123023)"
12880443,JF459782,2022-11-02 18:30:00,076XX S CICERO AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,0,0,833,8,18.0,65.0,06,2022,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
13578698,JH406080,2024-08-28 18:29:00,107XX S HOXIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,0,0,434,4,10.0,51.0,14,2024,41.700085255,-87.560771725,"(41.700085255, -87.560771725)"
12601806,JF124113,2022-01-01 00:00:00,002XX E HURON ST,0890,THEFT,FROM BUILDING,HOSPITAL BUILDING / GROUNDS,0,0,1834,18,42.0,8.0,06,2022,41.895003278,-87.62152816,"(41.895003278, -87.62152816)"
11811061,JC412518,2019-08-25 12:00:00,024XX S CENTRAL PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,1024,10,22.0,30.0,08B,2019,41.847544277,-87.714881915,"(41.847544277, -87.714881915)"
12869257,JF446571,2022-10-23 23:36:00,013XX N LOREL AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,ALLEY,0,0,2532,25,37.0,25.0,26,2022,41.904470504,-87.759726182,"(41.904470504, -87.759726182)"
13548208,JH369346,2024-07-31 08:40:00,021XX W 110TH PL,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,0,1,2212,22,19.0,75.0,26,2024,41.693054211,-87.674923951,"(41.693054211, -87.674923951)"
12218031,JD427685,2020-11-10 19:30:00,075XX S KOSTNER AVE,0460,BATTERY,SIMPLE,FACTORY / MANUFACTURING BUILDING,1,0,833,8,18.0,65.0,08B,2020,41.755635034,-87.732393134,"(41.755635034, -87.732393134)"
13089691,JG280139,2023-05-29 21:59:00,013XX S KILDARE AVE,041A,BATTERY,AGGRAVATED - HANDGUN,ALLEY,0,0,1011,10,24.0,29.0,04B,2023,41.86346907,-87.732430726,"(41.86346907, -87.732430726)"
13219382,JG434952,2023-09-21 19:00:00,055XX S DAMEN AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,0,0,715,7,16.0,67.0,04B,2023,41.793086059,-87.674267933,"(41.793086059, -87.674267933)"
12779342,JF339440,2022-08-01 00:00:00,116XX S ADA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,1,1,524,5,34.0,53.0,14,2022,41.682350587,-87.65544767,"(41.682350587, -87.65544767)"
11792024,JC389595,2019-08-12 15:54:00,052XX W DEMING PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,0,1,2515,25,31.0,19.0,26,2019,41.92685526,-87.757541323,"(41.92685526, -87.757541323)"
13392248,JH180589,2024-03-08 15:30:00,117XX S MARSHFIELD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),0,0,2234,22,21.0,75.0,07,2024,41.680418426,-87.662437948,"(41.680418426, -87.662437948)"
11694899,JC272430,2019-05-21 15:57:00,053XX S DR MARTIN LUTHER KING JR DR,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",0,0,231,2,3.0,40.0,08A,2019,41.797490407,-87.616051012,"(41.797490407, -87.616051012)"
11704333,JC283908,2019-05-29 06:00:00,033XX S MORGAN ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,0,0,913,9,11.0,60.0,05,2019,41.833455926,-87.651033809,"(41.833455926, -87.651033809)"
12992778,JG164593,2023-02-24 18:08:00,015XX W LUNT AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,1,0,2431,24,49.0,1.0,07,2023,42.009072424,-87.668779395,"(42.009072424, -87.668779395)"
12136016,JD332757,2020-08-14 10:00:00,030XX S HALSTED ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,ATM (AUTOMATIC TELLER MACHINE),0,0,913,9,11.0,60.0,11,2020,41.839410287,-87.646313633,"(41.839410287, -87.646313633)"
12337960,JE196752,2021-04-12 01:17:00,044XX N SHERIDAN RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,1914,19,46.0,3.0,08B,2021,41.962361027,-87.654756322,"(41.962361027, -87.654756322)"
12315215,JE168953,2021-03-14 15:35:00,061XX W GRAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,2512,25,36.0,19.0,14,2021,41.921068658,-87.778361321,"(41.921068658, -87.778361321)"
12517145,JE415898,2021-10-20 07:33:00,011XX N CLARK ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,0,0,1824,18,2.0,8.0,06,2021,41.903409445,-87.63143018,"(41.903409445, -87.63143018)"
12808259,JF373487,2022-08-28 10:05:00,069XX S CARPENTER ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,VACANT LOT / LAND,0,0,733,7,6.0,68.0,07,2022,41.76801568,-87.650554649,"(41.76801568, -87.650554649)"
11906201,JC528582,2019-11-29 14:30:00,0000X W WASHINGTON ST,0870,THEFT,POCKET-PICKING,GROCERY FOOD STORE,0,0,112,1,42.0,32.0,06,2019,41.88320956,-87.630156699,"(41.88320956, -87.630156699)"
13643638,JH483573,2024-10-26 07:15:00,005XX W BARRY AVE,0890,THEFT,FROM BUILDING,RESIDENCE - GARAGE,0,0,1934,19,44.0,6.0,06,2024,41.937680189,-87.64288925,"(41.937680189, -87.64288925)"
13631207,JH467938,2024-10-13 20:50:00,018XX W AUGUSTA BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,0,0,1212,12,1.0,24.0,04A,2024,41.899627842,-87.672585812,"(41.899627842, -87.672585812)"
13474563,JH280933,2024-05-27 14:37:00,038XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,GROCERY FOOD STORE,1,0,212,2,4.0,35.0,08B,2024,41.824675709,-87.617013434,"(41.824675709, -87.617013434)"
11847461,JC456441,2019-10-01 22:27:00,078XX S EGGLESTON AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,0,1,621,6,17.0,69.0,06,2019,41.751467874,-87.635536,"(41.751467874, -87.635536)"
13298047,JG528190,2023-12-03 22:00:00,008XX S PULASKI RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,1132,11,24.0,26.0,14,2023,41.870432297,-87.725330841,"(41.870432297, -87.725330841)"
12571635,JE482272,2021-12-19 00:30:00,051XX W SCHOOL ST,0810,THEFT,OVER $500,STREET,0,1,1634,16,31.0,15.0,06,2021,41.940549704,-87.754962862,"(41.940549704, -87.754962862)"
11791738,JC389204,2019-08-10 18:30:00,077XX N ASHLAND AVE,0810,THEFT,OVER $500,STREET,0,0,2422,24,49.0,1.0,06,2019,42.021871496,-87.670714425,"(42.021871496, -87.670714425)"
13449149,JH249620,2024-05-03 11:38:00,046XX S PULASKI RD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,0,0,821,8,14.0,57.0,15,2024,41.808784217,-87.723617946,"(41.808784217, -87.723617946)"
11672343,JC244200,2019-03-25 12:45:00,102XX W ZEMKE RD,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",AIRPORT EXTERIOR - NON-SECURE AREA,0,0,1654,16,41.0,76.0,11,2019,41.994913946,-87.881937669,"(41.994913946, -87.881937669)"
12142054,JD339725,2020-08-20 14:00:00,077XX S SAGINAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,421,4,7.0,43.0,08B,2020,41.754968838,-87.559974619,"(41.754968838, -87.559974619)"
11829253,JC434431,2019-09-15 15:07:00,078XX W ADDISON ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,0,1,1631,16,38.0,17.0,08A,2019,41.945121677,-87.823302982,"(41.945121677, -87.823302982)"
13250048,JG471545,2023-10-20 14:00:00,015XX N SHEFFIELD AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,1,0,1822,18,27.0,8.0,06,2023,41.91007391,-87.653106106,"(41.91007391, -87.653106106)"
11919942,JC543717,2019-12-12 04:07:00,013XX W NORTH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,1433,14,27.0,24.0,14,2019,41.91072397,-87.660972253,"(41.91072397, -87.660972253)"
13516914,JH332114,2024-07-03 18:12:00,005XX N TROY ST,0820,THEFT,$500 AND UNDER,RESIDENCE,0,0,1221,12,27.0,23.0,06,2024,41.891042964,-87.705188876,"(41.891042964, -87.705188876)"
11603794,JC161949,2019-02-22 09:00:00,056XX N KIMBALL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,1711,17,39.0,13.0,07,2019,41.983888215,-87.713781169,"(41.983888215, -87.713781169)"
13663082,JH507232,2024-11-09 11:00:00,0000X W TERMINAL ST,0810,THEFT,OVER $500,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,0,0,1651,16,41.0,76.0,06,2024,41.979006297,-87.906463155,"(41.979006297, -87.906463155)"
11627816,JC188955,2019-03-17 11:30:00,123XX S YALE AVE,0460,BATTERY,SIMPLE,RESIDENCE,0,0,523,5,9.0,53.0,08B,2019,41.669868653,-87.628420587,"(41.669868653, -87.628420587)"
13694929,JH546389,2024-12-14 08:00:00,061XX N PULASKI RD,0820,THEFT,$500 AND UNDER,APARTMENT,0,0,1711,17,39.0,13.0,06,2024,41.992722683,-87.728876924,"(41.992722683, -87.728876924)"
12512420,JE410084,2021-10-14 22:38:00,028XX S KEDZIE AVE,033A,ROBBERY,ATTEMPT ARMED - HANDGUN,RESTAURANT,0,0,1033,10,12.0,30.0,03,2021,41.840399009,-87.704917426,"(41.840399009, -87.704917426)"
12030336,JD209271,2020-04-15 00:05:00,003XX W 74TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,0,0,731,7,6.0,69.0,14,2020,41.759909873,-87.633817189,"(41.759909873, -87.633817189)"
11663957,JC230234,2019-04-19 12:38:00,014XX W CHICAGO AVE,1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,OTHER,1,0,1213,12,1.0,24.0,16,2019,41.896119356,-87.664295268,"(41.896119356, -87.664295268)"
11554600,JC102327,2019-01-02 10:30:00,033XX N CENTRAL PARK AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,0,1,1732,17,35.0,21.0,06,2019,41.941356327,-87.717464363,"(41.941356327, -87.717464363)"
13556747,JH379450,2024-08-04 14:30:00,001XX W KINZIE ST,1330,CRIMINAL TRESPASS,TO LAND,COMMERCIAL / BUSINESS OFFICE,0,0,1831,18,42.0,8.0,26,2024,41.889177567,-87.633183586,"(41.889177567, -87.633183586)"
13581458,JH409283,2024-08-30 23:30:00,004XX N UNION AVE,0810,THEFT,OVER $500,STREET,0,0,1214,12,27.0,24.0,06,2024,41.890516252,-87.645817694,"(41.890516252, -87.645817694)"
13487095,JH296321,2024-06-06 18:30:00,004XX N ST LOUIS AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,0,0,1123,11,27.0,23.0,11,2024,41.888709801,-87.713673374,"(41.888709801, -87.713673374)"
12349942,JE211080,2021-04-26 20:25:00,016XX N PULASKI RD,051A,ASSAULT,AGGRAVATED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),0,0,2535,25,26.0,23.0,04A,2021,41.91058325,-87.726353375,"(41.91058325, -87.726353375)"
11617357,JC178636,2019-03-08 15:00:00,004XX N MICHIGAN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,DEPARTMENT STORE,0,0,1834,18,42.0,8.0,11,2019,41.88946287,-87.624222942,"(41.88946287, -87.624222942)"
13322000,JG558090,2023-12-29 01:34:00,056XX W FULLERTON AVE,0860,THEFT,RETAIL THEFT,DRUG STORE,0,0,2515,25,30.0,19.0,06,2023,41.923976215,-87.766294416,"(41.923976215, -87.766294416)"
11664372,JC235545,2019-04-23 13:38:00,020XX W GARFIELD BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,0,1,715,7,15.0,67.0,08B,2019,41.793546945,-87.675198334,"(41.793546945, -87.675198334)"
11745315,JC333926,2019-06-25 17:30:00,066XX S SACRAMENTO AVE,0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,RESIDENCE,1,1,831,8,17.0,66.0,04B,2019,41.77265186,-87.698104249,"(41.77265186, -87.698104249)"
12952399,JG116336,2023-01-14 18:11:00,006XX E 75TH ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,0,0,323,3,6.0,69.0,15,2023,41.758498088,-87.609693875,"(41.758498088, -87.609693875)"
12615559,JF141574,2022-02-10 13:35:00,028XX N HALSTED ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - PORCH / HALLWAY,0,0,1934,19,44.0,6.0,14,2022,41.933949296,-87.64905601,"(41.933949296, -87.64905601)"
12534666,JE437629,2021-11-08 00:34:00,082XX S MARYLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,1,1,631,6,8.0,44.0,08B,2021,41.745038381,-87.603791483,"(41.745038381, -87.603791483)"
12775964,JF335072,2022-07-28 16:21:00,025XX S CHRISTIANA AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,1,0,1024,10,12.0,30.0,15,2022,41.845565271,-87.708724165,"(41.845565271, -87.708724165)"
13582851,JH410965,2024-09-01 13:00:00,001XX S HALSTED ST,0860,THEFT,RETAIL THEFT,RESTAURANT,0,0,1232,12,34.0,28.0,06,2024,41.880069618,-87.647310392,"(41.880069618, -87.647310392)"
12937382,JF528181,2022-12-30 23:41:00,012XX N WELLS ST,0820,THEFT,$500 AND UNDER,RESTAURANT,0,0,1821,18,2.0,8.0,06,2022,41.904265132,-87.634495504,"(41.904265132, -87.634495504)"
12655393,JF189549,2022-03-28 17:00:00,002XX W 69TH ST,0460,BATTERY,SIMPLE,NURSING / RETIREMENT HOME,0,0,731,7,6.0,69.0,08B,2022,41.76907549,-87.630165513,"(41.76907549, -87.630165513)"
13213654,JG427977,2023-09-17 12:00:00,015XX W VAN BUREN ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,0,0,1231,12,34.0,28.0,05,2023,41.876388206,-87.664758134,"(41.876388206, -87.664758134)"
11755783,JC346409,2019-07-10 22:51:00,054XX N WINTHROP AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,0,0,2023,20,48.0,77.0,11,2019,41.980853742,-87.657936297,"(41.980853742, -87.657936297)"
13107988,JG302353,2023-06-14 20:30:00,104XX S WESTERN AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),0,0,2211,22,19.0,72.0,11,2023,41.704099495,-87.681549467,"(41.704099495, -87.681549467)"
12803166,JF367489,2022-06-21 12:00:00,043XX N KNOX AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),0,0,1722,17,45.0,16.0,14,2022,41.959590448,-87.744970359,"(41.959590448, -87.744970359)"
12355547,JE218066,2021-05-02 19:00:00,045XX S TROY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,922,9,14.0,58.0,14,2021,41.811323125,-87.702857744,"(41.811323125, -87.702857744)"
11609959,JC169498,2019-02-28 23:20:00,055XX W MADISON ST,0320,ROBBERY,STRONGARM - NO WEAPON,OTHER,0,0,1522,15,29.0,25.0,03,2019,41.880259491,-87.763879259,"(41.880259491, -87.763879259)"
12178680,JD382339,2020-09-28 09:00:00,008XX W BUCKINGHAM PL,0820,THEFT,$500 AND UNDER,STREET,0,0,1924,19,44.0,6.0,06,2020,41.942681245,-87.65133714,"(41.942681245, -87.65133714)"
12733320,JF283728,2022-06-17 17:24:00,057XX W THOMAS ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,1,0,1511,15,29.0,25.0,18,2022,41.900275095,-87.768693411,"(41.900275095, -87.768693411)"
